Epoch,Training MAE,Validation MAE
1,18.739349365234375,18.63857650756836
2,18.29244041442871,18.665950775146484
3,17.801654815673828,17.737899780273438
4,17.25788116455078,16.494972229003906
5,16.655202865600586,15.2316255569458
6,15.726333618164062,14.338142395019531
7,14.66740608215332,15.228253364562988
8,13.399500846862793,13.416712760925293
9,12.118553161621094,12.585618019104004
10,10.504556655883789,12.65998363494873
11,9.222704887390137,11.125870704650879
12,7.8936309814453125,14.079855918884277
13,6.893212795257568,9.48520278930664
14,6.0992536544799805,8.153099060058594
15,5.642549991607666,6.027835845947266
16,5.231759548187256,3.0286364555358887
17,4.918997287750244,8.24783706665039
18,4.8274030685424805,7.129037857055664
19,4.678444862365723,3.2180564403533936
20,4.737365245819092,3.2327687740325928
21,4.61083459854126,4.130350589752197
22,4.636180400848389,2.617725133895874
23,4.4101152420043945,4.541144371032715
24,4.470850944519043,4.75994348526001
25,4.339639663696289,2.522726535797119
26,4.3807854652404785,4.457433700561523
27,4.274054527282715,4.632054805755615
28,4.323474407196045,3.0658493041992188
29,4.260886192321777,3.546837568283081
30,4.343735694885254,2.52366042137146
31,4.201910495758057,3.0736730098724365
32,4.100433349609375,2.52486515045166
33,4.151362895965576,2.733365535736084
34,4.111937046051025,3.8092546463012695
35,4.177763938903809,3.5743305683135986
36,4.168510913848877,2.7390048503875732
37,4.143709659576416,3.6108198165893555
38,4.058954238891602,3.378006935119629
39,3.94702410697937,3.0419986248016357
40,4.039886474609375,4.0411882400512695
41,4.049522399902344,4.364144325256348
42,4.002527713775635,4.441291332244873
43,3.905385971069336,3.5781426429748535
44,3.9348561763763428,3.0641403198242188
45,3.850186824798584,2.527716875076294
46,3.9797704219818115,3.4167630672454834
47,3.8124191761016846,2.5365121364593506
48,3.948251485824585,2.7130045890808105
49,3.726754903793335,2.5194091796875
50,3.8159849643707275,2.54813289642334
51,4.001951217651367,2.848343849182129
52,3.7896640300750732,2.54445743560791
53,3.8446366786956787,2.556788921356201
54,3.799999475479126,2.8523001670837402
55,3.869988203048706,2.57015061378479
56,3.8119797706604004,3.042217969894409
57,3.8620526790618896,2.926002025604248
58,3.698086977005005,3.0292413234710693
59,3.9294612407684326,3.2067084312438965
60,3.81351375579834,3.4224424362182617
61,3.809344530105591,3.408752918243408
62,3.8149306774139404,3.0201025009155273
63,3.8976385593414307,2.895669460296631
64,3.7845864295959473,3.1150283813476562
65,3.6972804069519043,3.233403205871582
66,3.802366018295288,3.0905721187591553
67,3.792698621749878,3.2130110263824463
68,3.704143762588501,2.7593390941619873
69,3.724989652633667,2.738255262374878
70,3.7864387035369873,2.920480728149414
71,3.705115556716919,2.768883466720581
72,3.8540122509002686,2.903907299041748
73,3.7959561347961426,2.7770791053771973
74,3.829162120819092,2.8487441539764404
75,3.7714452743530273,2.8709373474121094
76,3.721787214279175,2.9547677040100098
77,3.7255735397338867,3.1360743045806885
78,3.794935703277588,2.893312931060791
79,3.6594464778900146,2.6337685585021973
80,3.7651069164276123,2.9880552291870117
81,3.661973714828491,2.9385902881622314
82,3.7370450496673584,3.0172817707061768
83,3.7906105518341064,2.9600167274475098
84,3.6201701164245605,2.870760679244995
85,3.734269857406616,2.848158359527588
86,3.643496036529541,2.5514070987701416
87,3.7841475009918213,2.647498846054077
88,3.7191150188446045,2.736795425415039
89,3.7044129371643066,2.7079384326934814
90,3.7650325298309326,2.780973434448242
91,3.6798062324523926,2.654470682144165
92,3.7040443420410156,2.6704556941986084
93,3.634084939956665,2.7973709106445312
94,3.6365668773651123,2.7255592346191406
95,3.6083967685699463,2.8084287643432617
96,3.7283058166503906,2.659846544265747
97,3.7355077266693115,2.7289352416992188
98,3.612673282623291,2.7786571979522705
99,3.770056962966919,2.836853265762329
100,3.743807554244995,2.7949321269989014
101,3.6904728412628174,3.0004522800445557
102,3.7577850818634033,2.7953150272369385
103,3.673710584640503,2.678551435470581
104,3.7551486492156982,2.5865795612335205
105,3.5620365142822266,2.603304386138916
106,3.6189684867858887,2.5796163082122803
107,3.6092967987060547,3.0039782524108887
108,3.6059019565582275,2.937260866165161
109,3.714376211166382,2.7856717109680176
110,3.6255857944488525,2.729173183441162
111,3.6989083290100098,2.636017322540283
112,3.7399327754974365,2.6297762393951416
113,3.6814827919006348,2.6533541679382324
114,3.6507227420806885,2.549834728240967
115,3.6211373805999756,2.558958053588867
116,3.5904717445373535,2.541750907897949
117,3.704840898513794,2.685337781906128
118,3.622037410736084,2.615388870239258
119,3.573833465576172,2.544124126434326
120,3.5914487838745117,2.6466152667999268
121,3.751735210418701,2.6201906204223633
122,3.5829732418060303,2.603165626525879
123,3.7383546829223633,2.549898386001587
124,3.6525819301605225,2.7035326957702637
125,3.723862409591675,2.863346815109253
126,3.809999942779541,2.7674031257629395
127,3.7013919353485107,2.6719400882720947
128,3.6609690189361572,2.5580952167510986
129,3.6631345748901367,2.574380397796631
130,3.5365374088287354,2.631369113922119
131,3.5923075675964355,2.739950180053711
132,3.5846004486083984,2.699450969696045
133,3.5051238536834717,2.512571096420288
134,3.6042916774749756,2.536930561065674
135,3.6201963424682617,2.6289825439453125
136,3.6113619804382324,2.6270105838775635
137,3.6231443881988525,2.6179256439208984
138,3.617604970932007,2.6886839866638184
139,3.5958328247070312,2.5195047855377197
140,3.6038620471954346,2.5371196269989014
141,3.6821839809417725,2.6632399559020996
142,3.5929744243621826,3.13750958442688
143,3.6134424209594727,2.6826114654541016
144,3.6024627685546875,2.5625555515289307
145,3.629978895187378,2.528676986694336
146,3.580808401107788,2.554147481918335
