,precision,recall,f1-score,support
0,0.7899686520376176,1.0,0.882661996497373,252.0
1,1.0,0.25806451612903225,0.41025641025641024,62.0
2,1.0,0.5961538461538461,0.7469879518072289,52.0
accuracy,0.8169398907103825,0.8169398907103825,0.8169398907103825,0.8169398907103825
macro avg,0.9299895506792059,0.6180727874276261,0.6799687861870041,366.0
weighted avg,0.8553882522226219,0.8169398907103825,0.7833609126972987,366.0
