timestamp,overall_score,revitalization_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,day_of_week,year,month,hour,day_of_week_encoded
2023-03-14 09:41:30,77,77,105,62,0.0832497492477432,Tuesday,2023,3,9,5
2023-03-15 08:41:30,58,58,66,61,0.1639344262295081,Wednesday,2023,3,8,6
2023-03-16 08:38:30,82,82,122,58,0.0724029380902413,Thursday,2023,3,8,4
2023-03-17 08:17:00,62,62,92,58,0.1223175965665236,Friday,2023,3,8,0
2023-03-18 11:12:30,83,83,116,60,0.0622261174408413,Saturday,2023,3,11,2
2023-03-20 05:43:30,58,58,65,60,0.0943396226415094,Monday,2023,3,5,1
2023-03-21 08:49:00,89,89,154,61,0.0381355932203389,Tuesday,2023,3,8,5
2023-03-22 09:33:30,76,76,112,60,0.0521653543307086,Wednesday,2023,3,9,6
2023-03-23 08:57:30,75,75,97,61,0.0566706021251475,Thursday,2023,3,8,4
2023-03-24 09:44:30,67,67,99,60,0.0706033376123234,Friday,2023,3,9,0
2023-03-25 06:52:00,67,67,70,60,0.0822873082287308,Saturday,2023,3,6,2
2023-03-26 11:20:00,82,82,145,61,0.058491895701198,Sunday,2023,3,11,3
2023-03-27 08:27:30,70,70,81,63,0.0998719590268886,Monday,2023,3,8,1
2023-03-28 09:03:30,78,78,95,63,0.0611270296084049,Tuesday,2023,3,9,5
2023-03-29 09:31:00,71,71,105,64,0.0697674418604651,Wednesday,2023,3,9,6
2023-03-30 09:04:00,74,74,114,66,0.0557894736842105,Thursday,2023,3,9,4
2023-03-31 05:52:30,67,67,45,66,0.0576923076923076,Friday,2023,3,5,0
2023-04-02 10:16:30,84,84,112,65,0.053182214472537,Sunday,2023,4,10,3
2023-04-06 09:31:30,84,84,139,63,0.0476190476190476,Thursday,2023,4,9,4
2023-04-08 09:13:00,70,70,69,63,0.0397830018083182,Saturday,2023,4,9,2
2023-04-09 08:28:00,83,83,118,65,0.0525783619817998,Sunday,2023,4,8,3
2023-04-10 09:28:00,88,88,159,64,0.0761828388131515,Monday,2023,4,9,1
2023-04-11 05:54:00,67,67,69,63,0.0836879432624113,Tuesday,2023,4,5,5
2023-04-12 08:49:30,69,69,102,62,0.074074074074074,Wednesday,2023,4,8,6
2023-04-13 05:58:30,66,66,85,64,0.0807113543091655,Thursday,2023,4,5,4
2023-04-14 06:01:00,74,74,97,65,0.055350553505535,Friday,2023,4,6,0
2023-04-15 10:24:00,59,59,66,66,0.0709812108559499,Saturday,2023,4,10,2
2023-04-16 09:29:30,80,80,136,67,0.0595238095238095,Sunday,2023,4,9,3
2023-04-17 08:35:00,79,79,79,66,0.0389610389610389,Monday,2023,4,8,1
2023-04-18 05:58:30,73,73,86,64,0.0525587828492392,Tuesday,2023,4,5,5
2023-04-19 08:35:30,76,76,128,64,0.0549943883277216,Wednesday,2023,4,8,6
2023-04-20 09:01:00,84,84,103,64,0.0470829068577277,Thursday,2023,4,9,4
2023-04-21 08:57:30,77,77,114,63,0.064064064064064,Friday,2023,4,8,0
2023-04-22 06:59:30,68,68,65,64,0.0807833537331701,Saturday,2023,4,6,2
2023-04-23 09:07:00,77,77,83,64,0.051054384017758,Sunday,2023,4,9,3
2023-04-24 05:53:30,70,70,71,63,0.0880989180834621,Monday,2023,4,5,1
2023-04-25 08:25:00,72,72,102,62,0.0846905537459283,Tuesday,2023,4,8,5
2023-04-26 05:58:30,63,63,70,62,0.0695517774343122,Wednesday,2023,4,5,6
2023-04-27 10:08:30,73,73,134,63,0.0848484848484848,Thursday,2023,4,10,4
2023-04-28 09:29:00,79,79,78,64,0.0468140442132639,Friday,2023,4,9,0
2023-04-29 10:47:00,83,83,121,62,0.0647149460708782,Saturday,2023,4,10,2
2023-04-30 09:00:30,68,68,77,62,0.053177691309987,Sunday,2023,4,9,3
2023-05-01 10:22:00,76,76,94,62,0.0759013282732447,Monday,2023,5,10,1
2023-05-02 05:48:00,60,60,54,62,0.1168141592920354,Tuesday,2023,5,5,5
2023-05-03 09:29:30,82,82,94,61,0.0587695133149678,Wednesday,2023,5,9,6
2023-05-04 05:57:00,64,64,68,61,0.0862068965517241,Thursday,2023,5,5,4
2023-05-05 09:10:00,71,71,94,62,0.0815006468305304,Friday,2023,5,9,0
2023-05-06 08:34:30,67,67,60,63,0.0719322990126939,Saturday,2023,5,8,2
2023-05-07 08:29:30,77,77,98,63,0.0488940628637951,Sunday,2023,5,8,3
2023-05-08 07:59:00,71,71,118,63,0.0556872037914691,Monday,2023,5,7,1
2023-05-09 08:39:30,82,82,109,65,0.0484668644906033,Tuesday,2023,5,8,5
2023-05-10 09:00:30,80,80,85,65,0.0765357502517623,Wednesday,2023,5,9,6
2023-05-11 05:55:00,59,59,67,63,0.0755905511811023,Thursday,2023,5,5,4
2023-05-12 08:24:30,79,79,82,64,0.0514933058702368,Friday,2023,5,8,0
2023-05-13 10:05:00,84,84,123,64,0.0597402597402597,Saturday,2023,5,10,2
2023-05-14 09:26:30,69,69,72,64,0.062266500622665,Sunday,2023,5,9,3
2023-05-15 08:28:00,72,72,55,64,0.0575,Monday,2023,5,8,1
2023-05-16 06:08:00,57,57,46,64,0.0833333333333333,Tuesday,2023,5,6,5
2023-05-17 09:03:00,69,69,100,66,0.0693568726355611,Wednesday,2023,5,9,6
2023-05-18 05:57:00,68,68,49,69,0.0512820512820512,Thursday,2023,5,5,4
2023-05-19 09:05:00,82,82,127,70,0.0751503006012024,Friday,2023,5,9,0
2023-05-20 07:02:30,68,68,46,70,0.0983358547655068,Saturday,2023,5,7,2
2023-05-21 09:48:30,78,78,64,68,0.0685082872928176,Sunday,2023,5,9,3
